,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
28,13.75,4.1841419359420025,-48.64513862112747,5.148190639903024,3.4062559234747227,12.949747468305832,118,143.43636363636364,162
29,13.75,4.1841419359420025,-32.89453452518103,5.864191768511576,2.9794916688254744,13.363961030678928,117,156.6909090909091,193
30,4.5,2.393653682408596,-23.109445880672464,2.7712967309465366,1.9966424556519138,6.414213562373095,117,141.05555555555554,177
31,36.0,6.770275002573076,-5.071702023105583,8.416750504582108,5.538388126737081,22.071067811865476,116,135.17361111111111,151
32,62.75,8.938444016277748,83.07301117038328,11.512805368873552,7.549556014947204,32.55634918610404,116,153.62948207171314,178
33,2.25,1.692568750643269,45.00001609038752,1.632993161855452,1.632993161855452,4.0,126,139.11111111111111,158
34,186.25,15.399378727952763,71.92041313335731,16.531578626830495,14.561034086019461,59.33452377915607,116,143.68859060402684,173
35,11.5,3.826519928662906,-11.195111129526511,4.185196657552074,3.5007706977546653,11.535533905932738,118,133.1304347826087,150
36,21.25,5.201570947860099,-46.029526491662935,8.019717860570317,4.131770840830854,21.13908729652601,116,156.48235294117646,182
37,17.0,4.652426491681278,-3.378829591329147,5.339124439366004,4.152559478317518,14.535533905932738,119,160.19117647058823,182
38,25.75,5.725898905580716,22.35585240007088,6.79185968996899,5.014801735563854,18.828427124746188,117,156.44660194174756,176
39,16.25,4.54864184146723,-69.43048484857013,6.895287770266766,3.5311765388665477,17.242640687119284,117,134.0,150
40,8.5,3.2897623212397704,-63.14716120897712,3.7695025530871473,2.854339133031063,9.535533905932738,117,153.2941176470588,176
41,21.0,5.170882945826411,3.313739659777149,12.356490265800115,2.4142257930168283,24.63908729652601,117,132.64285714285714,149
42,103.5,11.479559785988718,11.757246769391527,15.34574097614346,9.543504016053557,45.26345596729059,118,137.3985507246377,159
43,118.5,12.283276682185287,76.2096938041467,19.602076859763926,9.833295843243977,63.57716446627535,116,139.71308016877637,171
44,40.0,7.136496464611085,4.769752816161495,15.533301871245445,3.7486624917112445,33.36396103067892,116,135.39375,153
45,7.25,3.0382538898732494,-55.39393359306656,4.106328593905543,2.361782783502336,9.535533905932738,116,149.31034482758622,179
46,52.25,8.156394191823509,-1.0593247652555293,10.403320924962438,6.654491516037091,31.192388155425117,117,136.22966507177034,154
47,3.0,1.9544100476116797,90.00003218077504,2.23606797749979,1.632993161855452,5.0,121,140.0,172
48,7.5,3.0901936161855166,-19.423454869530605,3.908239916561521,2.433354949478344,9.121320343559642,116,125.96666666666667,135
49,3.75,2.1850968611841584,-3.514199376026127,3.1711423993569103,1.4867826168164484,5.810660171779821,120,127.13333333333334,137
